time,open,high,low,close,Volume,Volume MA
2022-03-21T19:00:00Z,40949,41003,40872,40999,6741906.765,10697977.338179957
2022-03-21T19:30:00Z,40999,41213,40966,41193,8228684.8034,10856170.900349958
2022-03-21T20:00:00Z,41193,41233,41135,41170,4756062.2923,10835956.677059958
2022-03-21T20:30:00Z,41170,41288,41137,41137,3980689.0729,10866411.260679957
2022-03-21T21:00:00Z,41137,41245,41079,41216,2929516.5566,10755119.503229957
2022-03-21T21:30:00Z,41216,41331,41137,41318,4020730.8011,10744973.020524958
2022-03-21T22:00:00Z,41318,41390,41195,41208,6284514.2288,10787867.045069959
2022-03-21T22:30:00Z,41208,41238,41124,41129,4315778.5846,10487220.51922996
2022-03-21T23:00:00Z,41129,41176,40979,40988,3868261.7689,9916075.01657996
2022-03-21T23:30:00Z,40988,41111,40962,41008,5654459.4547,9265628.38552996
2022-03-22T00:00:00Z,41008,41049,40931,40954,3918444.8526,8394830.533794958
2022-03-22T00:30:00Z,40954,41196,40885,41157,8892646.3432,8496644.544689959
2022-03-22T01:00:00Z,41157,41215,41062,41073,3868746.1842,7854863.189989959
2022-03-22T01:30:00Z,41073,41199,41050,41199,3147747.8764,7608192.7291399585
2022-03-22T02:00:00Z,41199,41986,41170,41958,34147025.1683,9043423.23459996
2022-03-22T02:30:00Z,41958,42031,41805,41858,11534764.0103,8578345.733419959
2022-03-22T03:00:00Z,41858,42533,41858,42333,28802934.3537,8943596.59063996
2022-03-22T03:30:00Z,42333,42394,42225,42270,16913963.8673,9092711.03597496
2022-03-22T04:00:00Z,42270,43388,42268,43102,38960048.9026,10489930.835119959
2022-03-22T04:30:00Z,43102,43291,42914,43004,44304333.3365,12263562.96116996
2022-03-22T05:00:00Z,43004,43134,42831,42972,18970037.3195,12874969.48889496
2022-03-22T05:30:00Z,42972,43045,42862,42870,10809636.8393,13004017.09068996
2022-03-22T06:00:00Z,42870,42891,42121,42215,31551844.8961,14343806.22087996
2022-03-22T06:30:00Z,42215,42346,42008,42252,16086567.1463,14949100.12454996
2022-03-22T07:00:00Z,42252,42403,42191,42223,8527226.4336,15228985.618399963
2022-03-22T07:30:00Z,42223,42332,42223,42242,5964498.4671,15326174.001699964
2022-03-22T08:00:00Z,42242,42533,42114,42457,12026598.1065,15613278.195584964
2022-03-22T08:30:00Z,42457,42714,42457,42575,9684711.0963,15881724.821169967
2022-03-22T09:00:00Z,42576,42623,42432,42459,4359168.8337,15906270.174409967
2022-03-22T09:30:00Z,42459,42581,42411,42481,3091273.3097,15778110.867159968
2022-03-22T10:00:00Z,42481,42809,42474,42711,6968633.0829,15930620.27867497
2022-03-22T10:30:00Z,42711,42947,42708,42851,9793912.4507,15975683.584049966
2022-03-22T11:00:00Z,42851,43000,42799,42990,7219323.0803,16143212.428854967
2022-03-22T11:30:00Z,42990,43050,42807,42999,10545015.0978,16513075.789924968
2022-03-22T12:00:00Z,42999,43123,42824,42916,8851353.4217,15248292.202594966
2022-03-22T12:30:00Z,42916,42976,42800,42975,6254751.8353,14984291.593844969
2022-03-22T13:00:00Z,42975,42998,42823,42841,3827018.8368,13735495.817999968
2022-03-22T13:30:00Z,42841,43045,42698,42848,22063499.8853,13992972.618899968
2022-03-22T14:00:00Z,42848,43066,42848,42974,10482629.9068,12569101.669109968
2022-03-22T14:30:00Z,42974,43264,42750,42788,21915811.6672,11449675.58564497
2022-03-22T15:00:00Z,42788,42815,42679,42727,11613186.6131,11081833.050324969
2022-03-22T15:30:00Z,42727,42738,42576,42593,8966185.2825,10989660.472484969
2022-03-22T16:00:00Z,42593,42719,42528,42553,6416051.5736,9732870.806359967
2022-03-22T16:30:00Z,42553,42631,42481,42533,7111890.3637,9284136.967229968
